
### 패키지별 (전 dist · raw bytes)  총 1757417 bytes(매핑분)
  970792  55.2% src
  420529  23.9% pkg:@sqlite.org/sqlite-wasm
  178075  10.1% pkg:react-dom
   39415   2.2% pkg:react-router
   31165   1.8% pkg:@tanstack/query-core
   22861   1.3% pkg:zod
   16872   1.0% pkg:@tauri-apps/api
   11188   0.6% pkg:cmdk
    9323   0.5% pkg:immer
    8058   0.5% pkg:react
    5689   0.3% pkg:react-remove-scroll
    5571   0.3% pkg:workbox-window
    4629   0.3% pkg:@radix-ui/react-dismissable-layer
    4018   0.2% pkg:@radix-ui/react-dialog
    3528   0.2% pkg:scheduler
    3118   0.2% pkg:@radix-ui/react-focus-scope
    2288   0.1% pkg:@radix-ui/react-presence
    2254   0.1% pkg:@tauri-apps/plugin-notification
    2202   0.1% pkg:@tanstack/react-query
    1901   0.1% pkg:@radix-ui/react-slot
    1561   0.1% pkg:react-remove-scroll-bar
    1474   0.1% pkg:aria-hidden
    1140   0.1% pkg:use-sidecar
    1105   0.1% pkg:react-error-boundary
    1012   0.1% pkg:@tauri-apps/plugin-log
     957   0.1% pkg:@radix-ui/react-context
     880   0.1% pkg:@radix-ui/react-use-controllable-state
     740   0.0% pkg:tslib
     714   0.0% pkg:react-style-singleton
     686   0.0% pkg:zustand
     639   0.0% pkg:use-callback-ref
     584   0.0% pkg:@radix-ui/react-focus-guards
     451   0.0% pkg:@tauri-apps/plugin-sql
     407   0.0% pkg:@radix-ui/react-primitive
     331   0.0% pkg:@radix-ui/react-compose-refs
     247   0.0% pkg:@tauri-apps/plugin-dialog
     224   0.0% pkg:@radix-ui/react-portal
     213   0.0% pkg:@radix-ui/react-use-escape-keydown
     190   0.0% pkg:@radix-ui/primitive
     140   0.0% pkg:@radix-ui/react-id
     117   0.0% pkg:@radix-ui/react-use-callback-ref
      76   0.0% pkg:get-nonce
      53   0.0% pkg:@radix-ui/react-use-layout-effect

### 모듈별 (전 dist · raw bytes)  총 1757417 bytes(매핑분)
  211195  12.0% node_modules/@sqlite.org/sqlite-wasm/dist/index.mjs
  209334  11.9% node_modules/@sqlite.org/sqlite-wasm/dist/sqlite3-worker1.mjs
